custom_id,unique_id,text,label,gold,predicted,finish_reason,correct
345,mf_0345,The 2015 Global Innovation 1000,Business & Management,A,F,stop,0
346,mf_0346,Impact on society and our planet: PwC - Global Annual Review 2020,Business & Management,A,A,stop,1
347,mf_0347,"Volatility, uncertainty and major disruptions are pushing companies to lift and shift their supply chains quickly, PwC report says",Industry,D,A,stop,0
348,mf_0348,Employment law,Business & Management,A,C,stop,0
349,mf_0349,PwC's 21st CEO Survey: key findings from the healthcare industry,Industry,D,D,stop,1
350,mf_0350,Tax and legal news 24 March 2017,Tax & Accounting,E,E,stop,1
351,mf_0351,Private equity,Finance,B,B,stop,1
352,mf_0352,Deal summary Vaaka Partners Oy / Unisport Scandinavia AB,Finance,B,B,stop,1
353,mf_0353,New rules of control of certain transactions involving entities outside the EU and its potential impact on M&A transactions | PwC,Finance,B,C,stop,0
354,mf_0354,"Tax and legal news, May 2018",Tax & Accounting,E,E,stop,1
355,mf_0355,The PwC 2017 annual report. Our performance over the past year captured in videos data and infographics. data and infographics.,Tax & Accounting,E,A,stop,0
356,mf_0356,Entertainment & Media Outlook in Italy 2017-2021,Industry,D,D,stop,1
357,mf_0357,Entering the US securities market,Finance,B,B,stop,1
358,mf_0358,Annual report 2016: Our financial highlights transcript,Tax & Accounting,E,B,stop,0
359,mf_0359,COVID-19: Four essential crisis management lessons,Business & Management,A,A,stop,1
360,mf_0360,Uncharted waters: Tackling reinsurers’ riskiest exposures,Finance,B,B,stop,1
361,mf_0361,Energy App,Industry,D,F,stop,0
362,mf_0362,"Tax and Legal News, November 2020",Tax & Accounting,E,E,stop,1
363,mf_0363,Tax Flash: New tax bill,Tax & Accounting,E,E,stop,1
364,mf_0364,PwC’s COVID-19 CFO Pulse ,Business & Management,A,B,stop,0
365,mf_0365,"Working Capital Report 2018/19,Working Capital Report 2018/19",Tax & Accounting,E,B,stop,0
366,mf_0366,PwC’s Financial Crime Unit plans to employ 300 more staff in the next two years,Government & Controls,C,B,stop,0
367,mf_0367,19th Global CEO Survey: Redefining business success in a changing world,Business & Management,A,A,stop,1
368,mf_0368,PwC’s 2018 Annual Corporate Directors Survey,Business & Management,A,A,stop,1
369,mf_0369,Internal audit analytics,Tax & Accounting,E,C,stop,0
370,mf_0370,"Energy, utilities & resources",Industry,D,D,stop,1
371,mf_0371,Mergers & Acquisitions,Finance,B,B,stop,1
372,mf_0372,Are Real Estate CEOs missing out on the technology opportunity?,Industry,D,F,stop,0
373,mf_0373,PwC's 21st CEO Survey: Key findings from the Real Estate industry,Industry,D,D,stop,1
374,mf_0374,Undergraduate work placements,Business & Management,A,A,stop,1
375,mf_0375,Sustainability & Climate Change,Business & Management,A,A,stop,1
376,mf_0376,PwC's 21st CEO Survey: Key findings from the insurance industry,Finance,B,D,stop,0
377,mf_0377,Treasury change,Tax & Accounting,E,C,stop,0
378,mf_0378,Global Entertainment and Media Outlook 2018-2022,Industry,D,D,stop,1
379,mf_0379,What was 2020 for the retail sector? | PwC,Industry,D,D,stop,1
380,mf_0380,HR Technology and Analytics,Business & Management,A,F,stop,0
381,mf_0381,PwC opens Cyber Security Experience Centre in Israel,Technology,F,F,stop,1
382,mf_0382,Cyber threats topple over-regulation as top risk for Banking and Capital Markets CEOs,Technology,F,F,stop,1
383,mf_0383,Business Continuity Plan and Actions for Contact Centres,Business & Management,A,A,stop,1
384,mf_0384,CEO & Family Business Survey 2016,Business & Management,A,A,stop,1
385,mf_0385,Asset & Wealth Management Revolution: Embracing Exponential Change ,Finance,B,B,stop,1
386,mf_0386,Real estate transaction services,Industry,D,D,stop,1
387,mf_0387,Women in Work Index 2020,Business & Management,A,A,stop,1
388,mf_0388,Family Business Survey 2018,Business & Management,A,A,stop,1
389,mf_0389,Enterprise Applications,Technology,F,F,stop,1
390,mf_0390,Deals,Finance,B,B,stop,1
391,mf_0391,Emerging Trends in Real Estate®: Europe 2020 Report Launch,Industry,D,D,stop,1
392,mf_0392,Successful HR Practitioner,Business & Management,A,A,stop,1
393,mf_0393,PwC Legal reinforces its real estate law practice,Industry,D,A,stop,0
394,mf_0394,Global Employee Mobility,Business & Management,A,A,stop,1
395,mf_0395,Deal Announcement Katsastus Kovalainen and Q-katsastus,Finance,B,A,stop,0
396,mf_0396,Business Writing Skills in the Digital Age,Business & Management,A,A,stop,1
397,mf_0397,Data and Analytics (D&A),Technology,F,F,stop,1
398,mf_0398,Private Equity,Finance,B,B,stop,1
399,mf_0399,Cyber risk considerations and impacts,Technology,F,F,stop,1
400,mf_0400,Deal summary Turun Kauppaopetussäätiö / Auratum Real Estate Ltd,Finance,B,B,stop,1
401,mf_0401,System Process Assurance,Tax & Accounting,E,C,stop,0
402,mf_0402,Better by design: Innovation and new product development in Denmark: Global Family Business Survey 2016: PwC,Business & Management,A,A,stop,1
403,mf_0403,The finance function of the future: IFRS 17,Tax & Accounting,E,E,stop,1
404,mf_0404,Successfully Developing Innovative Drugs and Enhancing R&D Productivity,Industry,D,D,stop,1
405,mf_0405,Insurance’s new normal Driving innovation with InsurTech,Finance,B,D,stop,0
406,mf_0406,Proposed Amendments for Regulations Regarding Financial Restructuring Have Been Introduced,Finance,B,C,stop,0
407,mf_0407,Individual Taxation,Tax & Accounting,E,E,stop,1
408,mf_0408,Global tech IPOs in 2016 fell to their lowest level this decade,Finance,B,B,stop,1
409,mf_0409,19th Annual Global CEO Survey: Private Company View,Business & Management,A,A,stop,1
410,mf_0410,European IPO market looks set to shrug off uncertainty to reach €25bn in 2016,Finance,B,B,stop,1
411,mf_0411,Industry 4.0: Building the Digital Enterprise,Technology,F,F,stop,1
412,mf_0412,Private Equity,Finance,B,B,stop,1
413,mf_0413,Tax and legal news 25 February 2016,Tax & Accounting,E,E,stop,1
414,mf_0414,Brand communication during a pandemic. Time for storydoing,Business & Management,A,A,stop,1
415,mf_0415,Transform Your Organization to Adapt Post COVID-19,Business & Management,A,A,stop,1
416,mf_0416,Workforce Strategy,Business & Management,A,A,stop,1
417,mf_0417,Global employee mobility: Technology and efficiency,Business & Management,A,F,stop,0
418,mf_0418,Tax strategy  & operations,Tax & Accounting,E,E,stop,1
419,mf_0419,Get more than an accountant,Tax & Accounting,E,E,stop,1
420,mf_0420,Financial services organisations need to 'walk the diversity talk' to tap into the whole talent market,Business & Management,A,B,stop,0
421,mf_0421,New solidarity tax for the richest taxpayers and new social security contribution – practical impact overview,Finance,B,E,stop,0
422,mf_0422,PwC’s COVID-19 CFO Pulse,Business & Management,A,B,stop,0
423,mf_0423,Strategy,Business & Management,A,A,stop,1
424,mf_0424,Work in Assurance,Tax & Accounting,E,E,stop,1
425,mf_0425,Annual report 2016: Climate Week,Business & Management,A,B,stop,0
426,mf_0426,World CEOs turning to Germany for growth,Business & Management,A,A,stop,1
427,mf_0427,21st CEO Survey: The Anxious Optimist in the Corner Office,Business & Management,A,A,stop,1
428,mf_0428,NVIDIA Deep Learning,Technology,F,F,stop,1
429,mf_0429,Blockchain: PwC,Technology,F,F,stop,1
430,mf_0430,#amnc18: How will AI impact the job market in China?,Technology,F,F,stop,1
431,mf_0431,Payroll Outsourcing: Discipline leading to Innovation,Business & Management,A,A,stop,1
432,mf_0432,Digital Revolution and Open Banking,Finance,B,B,stop,1
433,mf_0433,Deal summary Veho Oy Ab,Finance,B,A,stop,0
434,mf_0434,Deal summary Vapo Oy,Finance,B,B,stop,1
435,mf_0435,Social security services,Finance,B,C,stop,0
436,mf_0436,ALM Intelligence rates PwC a global leader in retirement benefits consulting,Business & Management,A,A,stop,1
437,mf_0437,CEO confidence rises despite new risks and uncertainty,Business & Management,A,A,stop,1
438,mf_0438,Global CEO Pulse Survey on Innovation,Business & Management,A,A,stop,1
439,mf_0439,Tax and legal news 16 June 2017,Tax & Accounting,E,E,stop,1
440,mf_0440,Transaction services,Finance,B,B,stop,1
441,mf_0441,Assurance and financial reporting,Tax & Accounting,E,E,stop,1
442,mf_0442,"Energy, utilities and resources",Industry,D,D,stop,1
443,mf_0443,Databrain: Data Governance for Analytics,Technology,F,F,stop,1
444,mf_0444,Assurance,Tax & Accounting,E,E,stop,1
445,mf_0445,Tax and legal news 20 April 2017,Tax & Accounting,E,E,stop,1
446,mf_0446,Indirect Taxes,Tax & Accounting,E,E,stop,1
447,mf_0447,Cyber threats topple over-regulation as top risk for Banking and Capital Markets CEOs,Technology,F,F,stop,1
448,mf_0448,Deal summary Folmer Management Oy / Cockerill Maintenance & Ingénierie (CMI),Finance,B,A,stop,0
449,mf_0449,Presenting a United Front on Financial Crimes,Government & Controls,C,C,stop,1
450,mf_0450,How PwC’s Food Trust Platform protects Australian brands from food fraud,Government & Controls,C,F,stop,0
451,mf_0451,Tax Flash February 2015,Tax & Accounting,E,E,stop,1
452,mf_0452,Digital transformation in customer and operations,Technology,F,F,stop,1
453,mf_0453,IFRS 17/TFRS 17 Insurance Contracts,Finance,B,E,stop,0
454,mf_0454,Global employee mobility,Business & Management,A,A,stop,1
455,mf_0455,Emerging Trends in Real Estate®: Europe 2018,Industry,D,D,stop,1
456,mf_0456,"Tax and legal news, January 2020",Tax & Accounting,E,E,stop,1
457,mf_0457,PwC's Insights: Greek entrepreneurship at the crossroads,Business & Management,A,A,stop,1
458,mf_0458,Robo Advisory moves forward in Italy,Technology,F,B,stop,0
459,mf_0459,Fit for Growth,Business & Management,A,A,stop,1
460,mf_0460,Insurance,Finance,B,B,stop,1
461,mf_0461,US tax reform,Tax & Accounting,E,E,stop,1
462,mf_0462,PwC Women in Work Index: Closing the gender pay gap,Business & Management,A,A,stop,1
463,mf_0463,Project Management Services,Business & Management,A,A,stop,1
464,mf_0464,Digital Fitness Assessment,Technology,F,F,stop,1
465,mf_0465,PwC rated as a leader in robotic process automation (RPA) service providers in health industries report by independent research firm,Technology,F,F,stop,1
466,mf_0466,The impact of Brexit on the free flow of data,Government & Controls,C,F,stop,0
467,mf_0467,Statistical Analysis with MS Excel,Technology,F,F,stop,1
468,mf_0468,Strategy & Operations,Business & Management,A,A,stop,1
469,mf_0469,Deal summary FuturSoft Oy / Vitec Software Group,Finance,B,A,stop,0
470,mf_0470,Tax accounting services,Tax & Accounting,E,E,stop,1
471,mf_0471,PwC Global CIO recognised in Premier 100 Technology Leadership Awards.,Business & Management,A,F,stop,0
472,mf_0472,Internet access,Technology,F,F,stop,1
473,mf_0473,Audit and Assurance Services,Tax & Accounting,E,E,stop,1
474,mf_0474,Summary of planned changes in PIT from 1st January 2019,Tax & Accounting,E,E,stop,1
475,mf_0475,SAF-T in Poland – the number of tax audits using SAF-T is increasing,Tax & Accounting,E,E,stop,1
476,mf_0476,"Strong values drive growth for family business amid disruption fears, finds PwC global survey",Business & Management,A,A,stop,1
477,mf_0477,Crisis Management & Forensic Intelligence,Government & Controls,C,A,stop,0
478,mf_0478,Deal execution,Finance,B,B,stop,1
479,mf_0479,Tax technology,Tax & Accounting,E,E,stop,1
480,mf_0480,Technology,Technology,F,F,stop,1
481,mf_0481,Tax and legal news 26 September 2016,Tax & Accounting,E,E,stop,1
482,mf_0482,Insights about consumers and artificial intelligence 2018,Industry,D,F,stop,0
483,mf_0483,PwC: Forty percent of Russian companies have no information security strategy,Technology,F,F,stop,1
484,mf_0484,Telecommunications,Technology,F,D,stop,0
485,mf_0485,10 trends in polish healthcare 2016,Industry,D,D,stop,1
486,mf_0486,Emerging Trends in Real Estate® Europe 2017,Industry,D,D,stop,1
487,mf_0487,Insurance and legacy solutions,Finance,B,B,stop,1
488,mf_0488,Shifting patterns: the future of the logistics industry,Industry,D,D,stop,1
489,mf_0489,Hitting the sweet spot: Growth and diversification in Japan: Global Family Business Survey 2016: PwC,Business & Management,A,A,stop,1
490,mf_0490,On 30 October 2018 the Constitutional Tribunal will decide if removal of the annual limit of the pension and disability contributions is consistent with the Polish Constitution,Finance,B,C,stop,0
491,mf_0491,2019 AI Predictions: Six priorities you can’t afford to ignore,Technology,F,F,stop,1
492,mf_0492,Annual report 2016: My PwC transcript,Tax & Accounting,E,E,stop,1
493,mf_0493,Employment Law Bulletin March 2020,Business & Management,A,C,stop,0
494,mf_0494,FinTech,Finance,B,F,stop,0
495,mf_0495,The digital healthcare leap,Industry,D,F,stop,0
496,mf_0496,Assessing the global transport infrastructure market: Outlook to 2025,Industry,D,D,stop,1
497,mf_0497,Actuarial services,Finance,B,B,stop,1
498,mf_0498,Customer experience and payment behaviours in the PSD2 context,Finance,B,B,stop,1
499,mf_0499,Corporate Responsibility,Business & Management,A,A,stop,1
500,mf_0500,2015 CEO Success study,Business & Management,A,A,stop,1
501,mf_0501,Strategy & Operations,Business & Management,A,A,stop,1
502,mf_0502,Transfer pricing in an exceptional circumstances,Tax & Accounting,E,E,stop,1
503,mf_0503,Risk Assurance: Solutions for today's complex business landscape,Tax & Accounting,E,A,stop,0
504,mf_0504,Personal Data Protection Bulletin June 2019,Government & Controls,C,C,stop,1
505,mf_0505,‘Failing your way to success’: Longevity and entrepreneurship in the US: Global Family Business Survey 2016: PwC,Business & Management,A,A,stop,1
506,mf_0506,Transfer Pricing,Tax & Accounting,E,E,stop,1
507,mf_0507,About Business Advisory Services,Business & Management,A,A,stop,1
508,mf_0508,People & Change,Business & Management,A,A,stop,1
509,mf_0509,Global Digital Operations Survey 2018,Technology,F,F,stop,1
510,mf_0510,Pharma,Industry,D,D,stop,1
511,mf_0511,SOX and internal control,Government & Controls,C,C,stop,1
512,mf_0512,Tax and legal news 10 March 2017,Tax & Accounting,E,E,stop,1
513,mf_0513,Thinking Ahead |How to relaunch passenger mobility after COVID-19 emergency,Industry,D,D,stop,1
514,mf_0514,Global Airlines & Airports statement of capabilities – Rising to your challenges,Industry,D,D,stop,1
515,mf_0515,Leadership in times of a crisis - Cassandra Michie,Business & Management,A,A,stop,1
516,mf_0516,22nd CEO Survey: Healthcare and pharmaceutical trends 2019,Industry,D,D,stop,1
517,mf_0517,Family Business Survey 2012 Italy,Business & Management,A,A,stop,1
518,mf_0518,Deals strategy and operations,Finance,B,B,stop,1
519,mf_0519,Paying Taxes 2017 - Tax Policy and Administration ,Tax & Accounting,E,E,stop,1
520,mf_0520,"Technology has reduced the tax compliance burden on business, but where will the demands for increased data lead?",Technology,F,E,stop,0
521,mf_0521,M&A advisory,Finance,B,B,stop,1
522,mf_0522,PwC Spain - Assurance Advisory Tax and Legal services ,Tax & Accounting,E,E,stop,1
523,mf_0523,Healthcare & pharmaceutical trends 2019,Industry,D,D,stop,1
524,mf_0524,Deals,Finance,B,B,stop,1
525,mf_0525,Through Digital Upskilling FS Firms are Working to Move their Workforce from Analogue to Digital,Business & Management,A,F,stop,0
526,mf_0526,Turkey introduces a brand new digital services tax,Tax & Accounting,E,E,stop,1
527,mf_0527,Shifting patterns: the future of the logistics industry,Industry,D,D,stop,1
528,mf_0528,Global Entertainment and Media Outlook 2017 - 2021,Industry,D,D,stop,1
529,mf_0529,Supply chain and procurement,Industry,D,A,stop,0
530,mf_0530,"Tax and legal news, March 2020",Tax & Accounting,E,E,stop,1
531,mf_0531,IAS 19 Actuarial Studies,Finance,B,E,stop,0
532,mf_0532,"Deal summary Kymppivoima Oy, EPV Energia Oy and Helen Oy / Dong Energy",Finance,B,A,stop,0
533,mf_0533,Government and Public Sector,Government & Controls,C,C,stop,1
534,mf_0534,Start of people’s voting for the Healthy Sense Award,Industry,D,D,stop,1
535,mf_0535,Deals,Finance,B,B,stop,1
536,mf_0536,The evolving nature of the green agenda,Business & Management,A,C,stop,0
537,mf_0537,Paying Taxes 2017 - Comparative Modeller,Tax & Accounting,E,E,stop,1
538,mf_0538,PwC announces the short list of nominees for the Healthy Sense Book Award,Industry,D,A,stop,0
539,mf_0539,PwC participated in the opening of the market for trading at the London Stock Exchange,Finance,B,B,stop,1
540,mf_0540,Direct to Consumer,Industry,D,A,stop,0
541,mf_0541,Generational transfer,Business & Management,A,B,stop,0
542,mf_0542,Tax reporting & strategy,Tax & Accounting,E,E,stop,1
543,mf_0543,Taxes in Iceland,Tax & Accounting,E,E,stop,1
544,mf_0544,Information Security Strategy,Technology,F,F,stop,1
545,mf_0545,Removal of the annual limit of the pension and disability contributions – employment costs are to increase,Finance,B,E,stop,0
